Unnamed: 0,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,ETN,FI,GE,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SNPS,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,V,VRTX,VZ,WFC,WMT,XOM
2021-09-30,28.38,15.01,24.87,37.64,65.59,276.98,30.07,18.29,35.25,16.0,131.93,26.61,18.46,-238.97,11.63,31.69,19.05,14.87,38.13,7.59,18.31,10.3,10.35,15.9,9.49,45.18,158.5,19.81,7.96,21.61,42.89,503.12,15.03,23.67,41.92,14.0,23.43,23.5,6.12,23.28,29.16,26.34,8.07,182.24,77.68,28.58,10.51,11.92,23.16,38.6,47.18,39.74,21.27,18.52,35.5,20.95,16.18,30.74,26.35,35.67,10.4,12.09,25.82,7.64,86.19,46.62,34.77,491.4,65.48,25.91,-119.72,24.4,7.3,20.64,111.5,32.05,15.22,13.46,10.56,23.11,18.64,22.53,62.6,32.11,56.76,6.18,19.11,29.66,57.69,119.58,22.78,22.54,19.0,17.1,33.03,13.73,8.73,9.91,33.59,9.32
2021-06-30,26.19,65.03,43.21,28.79,54.02,30.64,39.05,18.79,36.91,75.25,55.84,30.91,14.71,62.06,9.63,-134.07,24.3,5.64,88.34,5.87,21.07,7.81,14.84,17.55,9.82,30.25,105.48,19.4,16.29,16.6,24.88,87.69,13.02,29.2,65.93,-16.26,22.63,22.04,6.07,18.0,26.61,23.64,11.18,95.19,52.72,17.71,9.9,19.59,22.12,44.6,37.45,14.52,11.25,20.16,43.74,19.43,20.37,57.85,24.06,21.79,31.88,12.2,30.97,13.25,140.43,43.25,35.19,461.06,51.85,14.52,-81.28,21.64,9.99,29.08,18.17,36.8,17.77,19.46,4.99,31.13,28.67,27.14,55.32,30.96,41.34,24.79,26.34,27.59,46.19,144.48,22.98,22.15,20.14,17.0,48.42,195.07,10.0,8.19,23.33,14.34
2021-03-31,21.65,13.46,29.69,28.49,41.86,33.39,24.75,22.92,42.92,21.8,48.09,34.55,12.89,-66.26,10.45,-433.91,24.08,12.54,41.92,4.77,20.7,7.74,18.13,18.66,17.54,34.63,113.07,18.76,36.39,16.33,21.42,95.27,13.2,30.06,65.45,-6.41,19.42,19.36,4.26,21.33,26.48,29.78,19.57,19.21,51.05,17.35,8.19,22.39,25.18,37.34,31.32,14.15,15.18,18.99,48.4,27.19,21.5,32.4,22.31,15.77,14.63,8.75,28.75,39.16,22.26,33.87,37.48,300.37,48.19,9.85,-59.0,27.07,10.38,25.47,9.45,53.31,14.29,21.1,11.72,38.77,48.72,20.67,48.36,28.11,75.88,5.42,40.11,19.23,41.75,366.36,24.85,18.08,27.43,7.73,37.41,21.33,11.48,9.57,36.07,21.81
2020-12-31,19.54,31.166666666666668,22.43,26.33,25.39,35.0,29.08,20.49,15.8,20.68,56.6,26.93,17.21,-3.64,12.09,-138.17,17.84,3.78,84.42,6.93,31.77,7.17,4.38,17.75,-13.88,41.09,195.95,18.57,-60.66,18.71,29.21,228.69333333333336,35.75,25.21,63.49,5.59,19.43,19.44,5.21,25.38,27.46,19.79,8.23,98.88000000000005,65.86,59.26,8.08,21.84,40.49,44.87,18.2,13.85,31.31,19.69,49.79,29.03,18.07,29.51,17.59,39.65,-23.56,9.31,27.17,24.26,-7560.7,110.26,42.34,417.60999999999996,56.24,18.0,-60.88,27.13,86.17,22.74,8.58,64.37,16.31,17.06,11.79,200.27,49.26,21.59,61.9,43.54,40.54,-2.8,59.25,18.51,55.81,621.37,22.34,37.49,25.36,-11.23,37.4,25.43,13.25,11.86,-47.05,-2.19
2020-09-30,38.97,16.78,39.14,29.62,64.89,28.31,24.82,12.02,60.64,18.39,62.29,47.04,19.19,-50.23,10.78,21.86,15.81,4.2,-86.79,6.95,30.27,10.98,11.12,26.22,-19.55,36.25,48.94,18.88,-161.18,24.03,39.76,-76.51,75.92,22.9,65.36,-7.42,22.2,22.13,4.94,21.16,38.14,15.26,12.23,104.5,66.29,27.24,7.86,17.88,30.12,44.71,27.78,16.06,42.95,14.85,55.93,23.18,18.38,69.12,24.13,46.01,17.01,7.18,28.64,13.02,27.65,69.87,28.78,380.715,60.79,19.74,-57.28,20.94,21.85,20.2,59.85,61.35,12.66,11.31,18.93,82.36,64.31,16.73,41.25,47.67,31.52,13.65,17.59,21.63,28.26,303.6,24.19,23.34,24.37,18.48,49.79,26.54,14.13,8.37,19.14,-57.22
2020-06-30,34.95,-54.66,75.36,26.34,42.26,29.2,38.81,17.14,96.05,19.23,65.77,46.7,80.4,-10.83,14.69,133.53,17.29,4.1,-82.51,20.21,37.39,-43.17,9.83,14.9,43.5,27.72,16.78,18.6,-5.0,17.14,31.47,-10.44,7.29,171.7,64.76666666666667,-4.68,34.62,34.73,47.11,16.48,23.48,18.85,11.96,45.09,244.69,25.24,15.46,18.34,10.27,60.84,26.37,15.81,9.9,16.08,52.27,70.9,33.62,66.46,31.54,23.75,15.53,6.11,34.43,16.07,23.06,69.59,-49.0,475.25,103.21,13.37,-104.28,27.18,12.31,27.17,24.88,42.39,14.02,29.68,20.49,-6.03,-31.64,16.19,29.81,25.05,-203.8,31.82,-72.21,29.98,292.4,481.78,21.07,10.54,25.3,13.61,43.44,22.51,12.14,-6.32,14.15,-43.0
2020-03-31,24.64,9.37,61.87,23.31,43.55,35.64,17.9,15.49,85.86,16.39,95.76,78.88,51.87,-32.89,11.67,-19.77,21.27,-2.24,-28.293333333333337,8.76,14.53,50.07,13.89,18.26,-4.8,40.95,366.43,16.21,9.37,15.63,36.25,94.72,9.41,18.15,41.08,1.74,29.19,29.17,11.41,26.51,15.01,20.02,9.87,16.24,45.97,15.11,24.32,71.49,16.54,40.1,21.62,14.29,14.75,16.13,35.85,27.81,23.84,51.52,24.39,14.48,14.38,8.31,27.88,34.69,69.94,58.17,41.06,282.48,49.73,15.65,-63.51,26.99,12.8,23.91,15.58,28.57,15.55,42.0,22.48,-143.86,60.53,13.61,53.82,23.21,31.64,8.57,-16.28,34.55,18.93,468.9166666666667,19.81,17.49,16.37,20.91,28.05,25.64,13.38,102.39,21.56,-66.45
2019-12-31,14.58,11.73,36.48,23.56,43.94,49.56,28.23,15.16,80.68,20.99,70.11,35.74,15.25,-45.5,11.35,18.29,15.05,4.74,3.94,8.62,18.5,14.99,19.38,16.19,24.74,37.78,-163.38,18.0,-8.53,24.0,19.1,31.21,20.45,21.67,79.57,20.84,21.58,21.61,10.87,25.27,20.21,7.74,9.39,76.23,47.84,23.85,12.88,18.41,29.02,55.91,20.09,18.29,43.56,20.47,35.83,23.45,27.33,20.87,20.0,35.9,23.36,9.64,25.79,27.15,30.36,60.44,32.71,22.29,38.68,20.23,-78.29,27.08,-152.5,20.89,9.87,36.31,20.48,27.34,13.55,16.54,29.13,17.92,53.24,30.79,27.1,22.53,17.97,32.34,22.35,179.29,27.97,19.68,22.3,-238.26,31.0,24.21,12.47,22.37,19.6,13.11
2019-09-30,18.37,14.88,38.53,27.92,43.59,36.34,29.98,18.77,65.64,14.72,100.67,37.25,14.16,46.02,11.74,10.67,15.52,7.71,112.47,7.81,11.76,16.83,10.53,15.94,5.17,39.14,-315.49,17.01,21.61,19.47,34.78,55.61,12.95,14.41,76.49,-1.29,29.88,29.93,10.21,23.1,18.69,18.4,9.31,294.77,39.26,17.61,10.39,18.26,22.41,35.56,20.38,17.1,20.7,17.95,32.63,25.26,14.04,25.91,21.0,41.77,26.93,8.31,24.85,21.98,32.18,44.06,24.14,294.0,35.08,20.66,-92.14,22.85,6.15,21.67,13.4,29.73,15.58,45.11,11.83,14.99,32.61,14.3,31.75,24.32,43.42,14.14,21.07,37.91,19.34,75.55,21.2,14.57,18.21,14.79,30.87,189.21,12.02,13.71,25.35,23.54
2019-06-30,22.93,36.65,37.11,22.72,52.2,28.73,37.92,20.61,253.08,12.98,90.25,44.75,15.06,-17.1,9.53,20.97,18.39,9.35,96.87,8.42,11.97,14.69,10.65,15.53,11.09,29.54,329.37,27.37,13.7,14.96,32.07,35.74,15.93,13.78,40.71,113.6,19.16,19.19,8.0,16.13,20.74,11.85,12.79,-401.63,47.98,16.42,9.6,22.43,20.85,52.75,19.55,17.96,11.56,13.08,33.22,25.9,24.49,39.79,53.02,38.49,19.42,8.84,19.69,10.96,19.8,151.41,30.62,-1181.29,48.22,11.82,-260.56,22.81,11.43,-13.03,12.18,32.69,13.08,10.98,46.97,8.71,18.58,14.44,49.86,25.75,40.22,12.44,20.85,26.28,16.87,-24.61,21.04,17.5,19.27,13.21,30.64,43.54,14.86,9.16,21.81,26.22
