,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,ETN,FI,GE,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SNPS,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,V,VRTX,VZ,WFC,WMT,XOM
2016-12-31,13.51%,30.00%,3.89%,13.54%,5.38%,4.09%,13.39%,9.15%,-12.26%,6.48%,3.88%,-3.35%,3.81%,199.63%,1.76%,6.84%,2.92%,2.22%,1.84%,1.59%,-8.91%,3.34%,2.78%,4.26%,-0.10%,4.14%,-0.69%,3.68%,0.24%,2.84%,3.25%,5.74%,1.47%,3.38%,8.46%,4.84%,3.84%,3.84%,2.70%,40.25%,5.29%,24.67%,5.38%,1.66%,3.53%,5.42%,2.65%,24.69%,2.38%,8.09%,5.51%,65.39%,10.30%,5.05%,16.50%,-54.14%,0.37%,1.66%,6.03%,6.95%,2.94%,1.98%,9.11%,1.46%,3.97%,2.49%,6.83%,-8.42%,11.37%,4.16%,-6.96%,12.63%,1.44%,14.84%,4.82%,2.95%,-13.49%,2.18%,5.69%,3.67%,12.97%,3.18%,2.60%,76.60%,5.34%,1.98%,15.03%,2.92%,2.14%,-2.55%,10.00%,4.39%,5.74%,-55.71%,6.52%,2.46%,19.96%,2.44%,4.83%,1.00%
2016-09-30,7.03%,24.70%,-1.58%,14.15%,3.72%,5.73%,8.68%,8.45%,-105.45%,6.55%,1.42%,-1.53%,5.30%,109.10%,1.83%,5.14%,3.03%,2.67%,3.52%,1.66%,1.81%,2.81%,3.26%,4.18%,-2.88%,4.55%,-0.55%,3.66%,0.73%,4.38%,1.69%,4.09%,2.50%,3.40%,8.33%,2.47%,3.77%,3.77%,2.40%,35.02%,6.46%,16.77%,5.35%,-3.21%,3.81%,5.87%,2.47%,22.79%,4.01%,6.46%,4.99%,103.10%,5.73%,4.13%,19.04%,-78.53%,1.99%,2.22%,4.40%,5.61%,4.99%,1.97%,8.05%,-1.41%,3.15%,2.04%,10.27%,-10.00%,10.18%,3.83%,-6.73%,15.81%,2.14%,4.66%,2.45%,1.90%,-15.96%,5.03%,5.90%,5.07%,13.61%,3.25%,2.28%,193.07%,3.80%,2.69%,12.70%,2.19%,2.05%,0.82%,9.41%,5.24%,5.58%,46.30%,5.87%,-3.49%,17.69%,2.58%,3.91%,1.55%
2016-06-30,6.16%,28.55%,2.97%,12.59%,3.37%,4.62%,6.29%,7.41%,-16.71%,6.21%,5.18%,-6.02%,9.42%,-40.00%,1.58%,6.26%,2.76%,1.90%,-3.33%,1.72%,3.61%,1.54%,3.82%,3.82%,-2.85%,6.45%,3.74%,4.42%,-0.83%,6.58%,2.62%,5.88%,3.22%,3.20%,8.02%,3.40%,3.81%,3.81%,2.11%,36.67%,6.96%,15.92%,2.17%,-3.45%,3.56%,5.52%,2.46%,39.40%,12.94%,7.76%,5.11%,34.07%,16.88%,4.24%,16.84%,170.77%,1.68%,1.83%,4.08%,7.04%,2.78%,1.85%,4.34%,-1.76%,2.33%,1.69%,6.90%,-15.30%,5.65%,5.89%,-6.90%,16.37%,3.26%,3.36%,2.44%,1.88%,-14.24%,4.71%,4.81%,4.72%,13.18%,3.02%,2.07%,90.12%,4.18%,2.76%,12.63%,2.43%,1.29%,-11.63%,7.82%,4.83%,4.79%,48.32%,1.26%,-5.52%,3.65%,2.56%,4.93%,1.00%
2016-03-31,8.06%,29.16%,1.52%,19.47%,3.59%,3.50%,11.82%,4.87%,21.67%,6.62%,3.48%,7.36%,6.64%,30.15%,1.02%,4.14%,2.31%,2.16%,3.13%,1.54%,1.73%,0.96%,4.09%,4.05%,-3.76%,4.74%,0.69%,3.77%,-0.40%,6.91%,3.09%,4.86%,2.99%,2.60%,10.77%,0.21%,3.40%,3.40%,1.31%,28.46%,6.68%,13.49%,3.34%,82.21%,2.87%,6.14%,2.21%,36.88%,5.95%,7.28%,2.93%,24.99%,12.26%,2.44%,17.50%,28.44%,1.99%,2.13%,3.20%,7.10%,2.57%,1.39%,5.02%,-0.79%,2.78%,1.19%,7.72%,-110.24%,4.67%,4.62%,-9.60%,8.38%,4.82%,4.65%,3.42%,1.43%,-12.00%,3.93%,4.40%,4.20%,11.29%,2.84%,2.20%,132.43%,4.56%,3.08%,11.21%,1.92%,2.80%,-29.09%,6.83%,4.59%,4.78%,46.03%,5.86%,-3.73%,23.12%,2.57%,4.10%,1.05%
2015-12-31,14.31%,38.45%,3.62%,13.88%,3.18%,3.29%,8.12%,3.99%,24.76%,6.41%,3.60%,9.10%,4.16%,16.20%,1.30%,5.73%,3.02%,2.14%,-2.25%,1.50%,-0.59%,2.34%,3.54%,3.77%,-8.68%,4.96%,-0.51%,5.17%,-0.32%,3.86%,2.91%,6.55%,0.79%,3.50%,7.11%,6.41%,4.09%,4.09%,0.88%,23.29%,6.48%,31.29%,5.91%,3.74%,4.40%,4.52%,2.19%,41.63%,4.84%,9.61%,3.28%,30.13%,0.14%,3.89%,14.76%,17.02%,-2.60%,2.15%,3.53%,5.68%,2.19%,1.00%,6.54%,1.67%,2.25%,1.94%,5.86%,-6.59%,4.63%,4.74%,-9.32%,14.41%,-0.27%,5.20%,4.53%,0.82%,-9.43%,4.95%,4.24%,11.98%,11.50%,3.10%,2.01%,102.06%,6.13%,3.27%,15.47%,2.82%,1.79%,-29.42%,8.41%,3.61%,5.40%,53.89%,6.59%,-6.91%,32.82%,2.69%,5.68%,1.63%
2015-09-30,9.32%,25.48%,2.75%,12.03%,2.55%,1.90%,7.27%,4.41%,58.63%,6.66%,0.64%,5.61%,5.88%,25.28%,1.76%,14.03%,3.00%,3.80%,-3.09%,1.94%,2.32%,1.81%,4.65%,3.86%,-2.42%,4.42%,-0.53%,4.05%,1.10%,5.21%,6.07%,3.61%,2.82%,2.90%,7.60%,2.25%,3.42%,3.42%,1.63%,22.64%,7.12%,22.19%,5.45%,-2.95%,4.07%,4.69%,2.77%,35.63%,5.56%,9.40%,5.25%,30.75%,8.78%,5.21%,15.59%,15.75%,24.26%,0.99%,2.16%,5.06%,4.01%,1.25%,6.33%,3.83%,3.94%,1.36%,9.14%,-7.94%,5.51%,3.67%,-6.18%,3.96%,3.19%,4.18%,3.73%,1.78%,-14.30%,3.38%,6.38%,4.46%,11.22%,2.85%,1.59%,35.80%,3.55%,2.46%,13.50%,2.28%,0.85%,-17.48%,8.00%,4.82%,6.31%,65.16%,5.07%,-8.84%,30.74%,2.82%,4.15%,2.48%
2015-06-30,8.50%,24.82%,3.41%,13.43%,2.23%,4.27%,6.99%,4.12%,128.37%,6.01%,0.78%,8.47%,6.55%,17.72%,2.11%,6.04%,2.95%,1.63%,1.55%,2.21%,4.15%,3.19%,5.21%,4.08%,-0.37%,7.22%,-0.02%,3.88%,0.31%,6.62%,2.89%,5.34%,3.73%,3.40%,4.04%,-1.24%,3.52%,3.52%,1.20%,25.87%,6.47%,25.20%,4.69%,0.60%,3.55%,6.35%,2.61%,33.70%,10.94%,6.20%,4.10%,31.15%,12.96%,2.46%,14.38%,11.39%,1.65%,1.55%,1.82%,6.10%,1.48%,2.22%,-3.99%,3.94%,3.36%,1.30%,6.81%,-13.37%,0.62%,5.62%,-7.98%,12.12%,3.93%,0.83%,4.94%,0.96%,-14.35%,3.57%,5.83%,5.08%,10.70%,2.84%,1.76%,43.31%,4.61%,3.55%,12.85%,2.47%,2.25%,-25.73%,6.82%,4.80%,5.74%,63.08%,5.93%,-18.02%,37.07%,2.83%,4.41%,2.43%
2015-03-31,10.52%,74.22%,10.48%,11.53%,1.29%,4.14%,9.46%,4.36%,-1058.82%,6.12%,-0.52%,9.67%,6.88%,16.90%,1.34%,3.86%,3.00%,2.14%,-0.02%,2.22%,6.55%,2.29%,4.87%,3.95%,0.56%,4.87%,0.10%,4.14%,1.37%,8.45%,2.44%,4.58%,3.56%,3.06%,5.53%,-12.50%,3.31%,3.31%,3.34%,17.16%,6.36%,19.17%,3.63%,21.59%,2.71%,6.36%,2.51%,26.65%,5.40%,8.29%,3.55%,24.94%,7.10%,3.91%,16.19%,7.12%,1.32%,-0.00%,1.37%,7.02%,2.00%,3.12%,5.53%,7.52%,3.21%,1.24%,6.40%,-12.77%,2.94%,5.14%,-8.39%,7.69%,3.53%,3.40%,4.10%,2.37%,-13.18%,2.78%,2.56%,4.98%,8.24%,2.48%,1.81%,56.22%,2.69%,3.77%,11.06%,1.93%,-0.40%,-18.67%,6.33%,4.43%,5.47%,56.10%,5.49%,-19.91%,45.18%,2.89%,4.36%,2.89%
2014-12-31,14.61%,-46.50%,4.20%,15.17%,1.08%,3.72%,6.04%,4.31%,-194.65%,5.02%,1.99%,4.16%,6.84%,16.92%,1.25%,5.27%,2.97%,1.73%,1.27%,0.17%,4.52%,1.88%,4.33%,3.65%,-0.08%,5.86%,-1.65%,4.15%,1.86%,4.69%,2.83%,4.94%,2.09%,3.68%,5.49%,4.02%,4.55%,4.55%,2.62%,14.79%,5.38%,46.21%,6.55%,-2.80%,4.34%,3.61%,2.12%,3.37%,2.54%,5.37%,2.79%,26.59%,4.51%,3.41%,11.80%,8.54%,1.80%,4.84%,1.94%,4.12%,15.04%,1.47%,6.38%,8.59%,4.44%,4.49%,5.60%,-10.42%,4.37%,5.22%,-8.33%,7.52%,1.72%,3.66%,5.34%,2.94%,-12.76%,5.08%,4.33%,4.72%,17.02%,2.97%,2.22%,-156.96%,3.02%,-4.60%,15.20%,2.93%,0.64%,-11.81%,7.94%,4.65%,6.75%,21.16%,5.62%,-16.12%,-18.14%,2.92%,6.10%,3.77%
2014-09-30,7.59%,10.89%,2.35%,12.23%,0.66%,2.28%,5.07%,3.67%,3.18%,4.91%,-4.23%,-5.29%,7.33%,9.39%,-0.20%,12.16%,3.38%,1.94%,0.64%,1.62%,5.40%,2.62%,4.79%,4.86%,4.89%,4.01%,-1.03%,3.22%,3.02%,7.16%,2.87%,3.33%,2.60%,3.63%,6.90%,2.62%,2.85%,2.85%,2.72%,15.20%,6.16%,0.13%,5.82%,-2.87%,4.01%,6.20%,2.41%,2.05%,6.32%,7.28%,2.83%,19.41%,5.45%,2.78%,15.61%,7.84%,2.90%,4.26%,3.80%,3.72%,1.98%,2.23%,5.03%,10.68%,3.51%,3.44%,8.66%,-9.83%,4.11%,4.56%,-6.10%,8.70%,3.42%,3.01%,4.27%,1.03%,-21.31%,4.84%,3.12%,5.45%,11.15%,2.80%,2.04%,12.33%,0.66%,3.38%,13.60%,2.30%,-0.65%,-7.80%,7.89%,4.91%,6.36%,21.57%,3.91%,-14.71%,22.29%,2.96%,4.69%,4.47%
